Ferro electric thin film material,Film thickness (nm),Substrate material,Remnant polarization,Coercive field,Article Title,Source Title,DOI,mpid,formula,space_group,crystal_system,a,b,c,alpha,beta,gamma,volume,density,band_gap,formation_energy,energy_above_hull
SrBi2Ta2O9,,Pt(111)/Ti/SiO2/Si(001),9.7,50,Structural and ferroelectric properties of the c-axis oriented SrBi2Ta2O9 thin films deposited by the radio-frequency magnetron sputtering,APPLIED PHYSICS LETTERS,10.1063/1.117122,mp-554675,SrTa2Bi2O9,I4/mmm,Tetragonal,12.88926010521210,12.88926010521210,12.88926010521210,162.43201051905100,162.43201051905100,24.944205836485600,195.03203960702600,8.6118536180181,2.012,-2.813450842119050,0.024446373214285000
BiFeO3,,,90,90,Improvement of ferroelectric properties of BiFeO3 thin films by postmetallization annealing and electric field application,JOURNAL OF APPLIED PHYSICS,10.1063/1.3078751,mp-551451,FeBiO3,P1,Triclinic,5.430644,5.458528411681670,5.524043330056890,66.90638248766580,67.50512893589980,65.21539056092890,132.00542267882300,3.935109620597320,1.6259000000000000,-1.236482167000000,0.43792711700000000
SrBi2Ta2O9,,Pt/TiO2/SiO2/Si,3.8,60,Preparation of SrBi2Ta2O9 ferroelectric thin films by liquid source misted chemical vapor deposition method using inorganic salt solution,"HIGH-PERFORMANCE CERAMICS III, PTS 1 AND 2",10.4028/www.scientific.net/KEM.280-283.853,mp-554675,SrTa2Bi2O9,I4/mmm,Tetragonal,12.88926010521210,12.88926010521210,12.88926010521210,162.43201051905100,162.43201051905100,24.944205836485600,195.03203960702600,8.6118536180181,2.012,-2.813450842119050,0.024446373214285000
Bi4Ti3O12 and SrBi2Ta2O9,,Pt- or Ir-coated oxidized Si,10.9,149,Preparation and properties of Bi4Ti3O12 and SrBi2Ta2O9 thin films by electron cyclotron resonance (ECR) sputtering,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,,mp-1179025,Ti3(BiO3)4,C2/m,Monoclinic,3.864694375720030,3.864694375720030,16.978874726609200,84.22256089428060,84.22256089428060,88.83345502699920,251.01098852038200,7.750047518997610,1.542,-2.509956527894740,0.041130956447370000
Ba2NaNb5O15,,Pt and quartz,3.5,21.6,Preparation of Ba2NaNb5O15 thin films by the sol-gel method,JOURNAL OF THE CERAMIC SOCIETY OF JAPAN,10.2109/jcersj.105.449,mp-15983,Ba2NaNb5O15,P4bm,Tetragonal,12.645437,12.645437,4.143903,90.0,90.0,90.0,662.6394157740340,5.022752543749460,2.5083,-3.119923172233880,0.015463575434781000
BaMgF4,,Si,1.6,150,GROWTH AND CHARACTERIZATION OF FERROELECTRIC BAMGF4 FILMS,JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A-VACUUM SURFACES AND FILMS,10.1116/1.577423,mp-14568,BaMgF4,Cmc2_1,Orthorhombic,4.138615374045860,5.82417437,7.513881515157710,90.0,105.98572966231700,90.0,174.11108302378500,4.5325846744088300,6.8005000000000000,-3.986340862500000,0.0037440633333360000
"KNN (K, Na)NbO3",,Pt/Ti/SiO2/Si,3.54,160,"Lead-free (K, Na)NbO3 ferroelectric thin films: Preparation, structure and electrical properties",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2010.08.025,mp-4514,NaNbO3,R3c,Trigonal,5.617198572499830,5.617198084822000,5.617198164543070,58.72980801617480,58.72981108887730,58.72980534434100,121.69003756668400,4.472888253079710,2.5048,-2.844822765275860,0.0
BiFeO3 (BFO),,Pt/Si,66,300,Enhanced electrical insulation and ferroelectricity in La and Ni co-doped BiFeO3 thin films,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2014.09.161,mp-551451,FeBiO3,P1,Triclinic,5.430644,5.458528411681670,5.524043330056890,66.90638248766580,67.50512893589980,65.21539056092890,132.00542267882300,3.935109620597320,1.6259000000000000,-1.236482167000000,0.43792711700000000
BaTiO3,500,Pt/SiO2/Si,8,25,PREPARATION AND PROPERTIES OF FERROELECTRIC BATIO3 THIN-FILMS BY SOL-GEL PROCESS,JAPANESE JOURNAL OF APPLIED PHYSICS PART 1-REGULAR PAPERS SHORT NOTES & REVIEW PAPERS,10.1143/JJAP.32.4092,mp-19990,BaTiO3,P4/mmm,Tetragonal,4.112467,4.112467,5.035613,90.0,90.0,90.0,85.16422489125650,4.546800709110380,0.0,-1.684818113666670,1.8074598639999700
Bi4Ti3O12,,silicon,2.4,2.5,Properties of Bi4Ti3O12 thin films grown at low temperatures,JAPANESE JOURNAL OF APPLIED PHYSICS PART 1-REGULAR PAPERS SHORT NOTES & REVIEW PAPERS,10.1143/JJAP.36.5885,mp-1179025,Ti3(BiO3)4,C2/m,Monoclinic,3.864694375720030,3.864694375720030,16.978874726609200,84.22256089428060,84.22256089428060,88.83345502699920,251.01098852038200,7.750047518997610,1.542,-2.509956527894740,0.041130956447370000
BiFeO3,,Pt/TiO2/SiO2/Si,145.8,573.5,Improved ferroelectric behavior in (110) oriented BiFeO3 thin films,JOURNAL OF APPLIED PHYSICS,10.1063/1.3296226,mp-551451,FeBiO3,P1,Triclinic,5.430644,5.458528411681670,5.524043330056890,66.90638248766580,67.50512893589980,65.21539056092890,132.00542267882300,3.935109620597320,1.6259000000000000,-1.236482167000000,0.43792711700000000
Ba4Na2Nb10O30,,"Si(100), Pt/Si(100), sapphire",17.34,62.5,Barium sodium niobate powders and thin films: Preparation and ferroelectric behavior,JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY,10.1023/A:1018364000610,mp-15983,Ba2NaNb5O15,P4bm,Tetragonal,12.645437,12.645437,4.143903,90.0,90.0,90.0,662.6394157740340,5.022752543749460,2.5083,-3.119923172233880,0.015463575434781000
BiFeO3,,Pt/TiO2/SiO2/Si,105.35,217.5,Highly (111)-Orientated BiFeO3 Thin Film Deposited on La0.67Sr0.33MnO3 Buffered Pt/TiO2/SiO2/Si (100) Substrate,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,10.1149/2.018202jes,mp-551451,FeBiO3,P1,Triclinic,5.430644,5.458528411681670,5.524043330056890,66.90638248766580,67.50512893589980,65.21539056092890,132.00542267882300,3.935109620597320,1.6259000000000000,-1.236482167000000,0.43792711700000000
PbZrO3,,,36,65,Antiferroelectric lead zirconate thin films by pulsed laser ablation,MATERIALS SCIENCE AND ENGINEERING B-SOLID STATE MATERIALS FOR ADVANCED TECHNOLOGY,10.1016/S0921-5107(99)00163-4,mp-1068577,ZrPbO3,Pm-3m,Cubic,4.208933,4.208933,4.208933,90.0,90.0,90.0,74.56174053380130,7.715050540923730,2.2792,-2.793935413,0.08222417481249700
SrBi2Ta2O9,,Si/SiO2/Ti/Pt,8.4,57,Influence of annealing on crystal structure and properties of SrBi2Ta2O9 thin films prepared by pulse laser deposition,CHINESE PHYSICS LETTERS,10.1088/0256-307X/13/12/016,mp-554675,SrTa2Bi2O9,I4/mmm,Tetragonal,12.88926010521210,12.88926010521210,12.88926010521210,162.43201051905100,162.43201051905100,24.944205836485600,195.03203960702600,8.6118536180181,2.012,-2.813450842119050,0.024446373214285000
SrBi2Ta2O9 (SBT)/Bi4Ti3O12 (BIT),,p-Si,8.1,130,Synthesis and ferroelectric properties of SrBi2Ta2O9/Bi4Ti3O12/P-Si ultilayer thin films by Sol-Gel,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,10.1007/s10854-006-6757-z,mp-554675,SrTa2Bi2O9,I4/mmm,Tetragonal,12.88926010521210,12.88926010521210,12.88926010521210,162.43201051905100,162.43201051905100,24.944205836485600,195.03203960702600,8.6118536180181,2.012,-2.813450842119050,0.024446373214285000
"BLT (Bi,La)(4)Ti3O12)",,Pt/Ti/SiO2/Si,10.8,79.0,"Structural and electrical properties of (Bi,La)4Ti3O12 thin films with a Bi2O3 top-layer prepared by a chemical solution deposition method",ELECTROCERAMICS IN JAPAN VI,10.4028/www.scientific.net/KEM.248.45,mp-1176426,MnOF,P1,Triclinic,5.73607,6.916410286611550,6.951590927312320,95.63297546027270,92.05847303087640,92.79457536108630,273.9024339075190,4.361903245425890,0.0337,-2.120080078477010,0.274667441944423
SrBi2Ta2O9,,Pt and SiO2/n-Si(100),2.5,34,Preparation and basic properties of SrBi2Ta2O9 films,JAPANESE JOURNAL OF APPLIED PHYSICS PART 1-REGULAR PAPERS SHORT NOTES & REVIEW PAPERS,10.1143/JJAP.36.5896,mp-554675,SrTa2Bi2O9,I4/mmm,Tetragonal,12.88926010521210,12.88926010521210,12.88926010521210,162.43201051905100,162.43201051905100,24.944205836485600,195.03203960702600,8.6118536180181,2.012,-2.813450842119050,0.024446373214285000
SrBi4Ti4O15,,platinum coated silicon,5.1,135,"Effect of the microwave oven on structural, morphological and electrical properties of SrBi4Ti4O15 thin films grown on Pt/Ti/SiO2/Si substrates by a soft chemical method",MATERIALS CHARACTERIZATION,10.1016/j.matchar.2007.05.022,mp-1217847,SrTi4Bi4O15,Cmc2_1,Orthorhombic,20.787532914830400,20.787532914830400,5.556209,90.0,90.0,164.7993886145800,629.5297996305600,7.148292051899280,1.7965,-2.756441758472220,0.0030988107291700000
Bi4Ti3O12,,CaRuO3//SrTiO3,4.0,18.8,Film thickness dependence of ferroelectric properties of c-axis-oriented epitaxial Bi4Ti3O12 thin films prepared by metalorganic chemical vapor deposition,JOURNAL OF APPLIED PHYSICS,10.1063/1.1352566,mp-1179025,Ti3(BiO3)4,C2/m,Monoclinic,3.864694375720030,3.864694375720030,16.978874726609200,84.22256089428060,84.22256089428060,88.83345502699920,251.01098852038200,7.750047518997610,1.542,-2.509956527894740,0.041130956447370000
BiFeO3 (BFO),,indium tin oxide (ITO)/glass,120.6,933,"Effects of transition metal (Cu, Zn, Mn) doped on leakage current and ferroelectric properties of BiFeO3 thin films",JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,10.1007/s10854-017-7366-8,mp-551451,FeBiO3,P1,Triclinic,5.430644,5.458528411681670,5.524043330056890,66.90638248766580,67.50512893589980,65.21539056092890,132.00542267882300,3.935109620597320,1.6259000000000000,-1.236482167000000,0.43792711700000000
BiFeO3,,polyimide,2.8,380,Direct fabrication of BiFeO3 thin films on polyimide substrates for flexible electronics,JOURNAL OF MATERIALS CHEMISTRY C,10.1039/c7tc04571a,mp-551451,FeBiO3,P1,Triclinic,5.430644,5.458528411681670,5.524043330056890,66.90638248766580,67.50512893589980,65.21539056092890,132.00542267882300,3.935109620597320,1.6259000000000000,-1.236482167000000,0.43792711700000000
CaBi2Ta2O9 (CBT),,Pt-passivated quartz glass,6.9,170,Preparation of layer-structured CaBi2Ta2O9 ferroelectric thin films through a triple alkoxide route,JAPANESE JOURNAL OF APPLIED PHYSICS PART 1-REGULAR PAPERS BRIEF COMMUNICATIONS & REVIEW PAPERS,10.1143/JJAP.39.5501,mp-556848,CaTa2Bi2O9,I4/mmm,Tetragonal,13.469347848130800,13.469347848130800,13.469347848130800,163.84137319296000,163.84137319296000,22.928786100267200,189.22149090719800,8.459092146144980,0.072699999999999,-2.1691648949761900,0.67926981821428
BaTi2O5,,Pt(1 1 1)/Ti/SiO2/Si,0.77,10,Preparation of ferroelectric BaTi2O5 thin films on Pt(111)/Ti/SiO2/Si substrates by pulsed laser deposition,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2011.09.049,mp-3943,BaTi2O5,C2/m,Monoclinic,8.756715490890980,8.756715490890980,9.69479512421887,77.44445345140660,77.44445345140660,25.836050696759700,315.8104194178930,4.938200329835690,1.8301,-3.509142515208330,0.022967943125062000
HfO2,,n(+)-Si(100),7,1400,y Mist chemical vapor deposition study of 20 and 100 nm thick undoped ferroelectric hafnium oxide films on n+-Si(100) substrates,JAPANESE JOURNAL OF APPLIED PHYSICS,10.7567/1347-4065/ab38d8,mp-1244883,HfO2,P1,Triclinic,10.994877239299200,10.86933980337990,11.135480148996400,92.29869496641970,90.80401808788060,93.76473825497250,1326.6428296090900,8.957833639278320,3.7691,-3.790489710490200,0.229321330343136
SrBi2Ta2O9,,,20,35,"CHARACTERISTICS OF BISMUTH LAYERED SRBI2TA2O9 THIN-FILM CAPACITORS AND COMPARISON WITH PB(ZR,TI)O-3",JAPANESE JOURNAL OF APPLIED PHYSICS PART 1-REGULAR PAPERS SHORT NOTES & REVIEW PAPERS,10.1143/JJAP.34.5233,mp-554675,SrTa2Bi2O9,I4/mmm,Tetragonal,12.88926010521210,12.88926010521210,12.88926010521210,162.43201051905100,162.43201051905100,24.944205836485600,195.03203960702600,8.6118536180181,2.012,-2.813450842119050,0.024446373214285000
BaTiO3,,ITO-glass,6.3,8.4,Ferroelectric properties of sol-gel derived thin solid film of barium titanate on ITO-glass,INTEGRATED FERROELECTRICS,10.1080/10584580108222303,mp-19990,BaTiO3,P4/mmm,Tetragonal,4.112467,4.112467,5.035613,90.0,90.0,90.0,85.16422489125650,4.546800709110380,0.0,-1.684818113666670,1.8074598639999700
Bi4Ti3O12,,,1.9,23,EFFECTS OF O-2 GAS-PRESSURE IN HEAT-TREATMENT ON SURFACE-MORPHOLOGY AND ELECTRIC PROPERTIES OF FERROELECTRIC BI4TI3O12 THIN-FILMS WITH C-AXIS ORIENTATION,JAPANESE JOURNAL OF APPLIED PHYSICS PART 1-REGULAR PAPERS BRIEF COMMUNICATIONS & REVIEW PAPERS,10.1143/JJAP.34.5193,mp-1179025,Ti3(BiO3)4,C2/m,Monoclinic,3.864694375720030,3.864694375720030,16.978874726609200,84.22256089428060,84.22256089428060,88.83345502699920,251.01098852038200,7.750047518997610,1.542,-2.509956527894740,0.041130956447370000
Bi3TiNbO9,,Ti/SiO2/Si,6.2,50,In situ electrical-field-induced growth and properties of Bi3TiNbO9 ferroelectric thin films,APPLIED PHYSICS LETTERS,10.1063/1.1430023,mp-1216832,TiNb(BiO3)3,I4mm,Tetragonal,12.951407793067600,12.951407793067600,12.951407793067600,162.83207235903600,162.83207235903600,24.371715657084700,189.23096957782300,8.000427806005780,1.7575,-2.367242657738100,0.06847364267856900
BaTiO3,100,CoFe2O4,36.4,104,Effect of strain on the ferroelectric properties in epitaxial perovskite titanate thin films grown on ferromagnetic CoFe2O4 layers,SCRIPTA MATERIALIA,10.1016/j.scriptamat.2008.02.009,mp-19990,BaTiO3,P4/mmm,Tetragonal,4.112467,4.112467,5.035613,90.0,90.0,90.0,85.16422489125650,4.546800709110380,0.0,-1.684818113666670,1.8074598639999700
BaTiO3,,,3.2,53,Ferroelectric and dielectric properties of sol-gel processed barium titanate ceramics and thin films,JOURNAL OF MATERIALS SCIENCE,10.1023/A:1004578905297,mp-19990,BaTiO3,P4/mmm,Tetragonal,4.112467,4.112467,5.035613,90.0,90.0,90.0,85.16422489125650,4.546800709110380,0.0,-1.684818113666670,1.8074598639999700
